"Country Name","Country Code","Indicator Name","Indicator Code","2021","2022","2023"
"United States","USA","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","6445.82621225492","6512.09816744798","6364.46726343838"
"China","CHN","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","2623.79959356116","2676.48200976111","2850.94152906511"
"India","IND","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","676.814293488143","727.902200094024","763.197899394641"
"Germany","DEU","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","3467.03057027911","3261.8564081995","2928.19658713867"
"Japan","JPN","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","3196.03970960845","3129.65861717499","3039.14126131753"
"Brazil","BRA","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","1430.3934661032","1432.72741132919","1481.22439922518"
"United Kingdom","GBR","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","2377.4766480833","2253.30282671333","2126.55279563942"
"France","FRA","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","3469.83398574773","3100.1897815932","3136.12237461475"
