"Country Name","Country Code","Indicator Name","Indicator Code","2021","2022","2023"
"United States","USA","Population growth (annual %)","SP.POP.GROW","0.157323851413364","0.569329881519084","0.822589035790284"
"China","CHN","Population growth (annual %)","SP.POP.GROW","0.0892522000412526","-0.0130995013525784","-0.103794531589067"
"India","IND","Population growth (annual %)","SP.POP.GROW","0.822648220128724","0.790200540609834","0.883289539766135"
"Germany","DEU","Population growth (annual %)","SP.POP.GROW","0.0423270572552137","-0.0219565701848977","0.131511079477747"
"Japan","JPN","Population growth (annual %)","SP.POP.GROW","-0.459952415807642","-0.443851919148528","-0.487370782049143"
"Brazil","BRA","Population growth (annual %)","SP.POP.GROW","0.425360907216456","0.360180890872169","0.395928695574996"
"United Kingdom","GBR","Population growth (annual %)","SP.POP.GROW","0.355973393742215","0.977617841553254","1.30728496203423"
"France","FRA","Population growth (annual %)","SP.POP.GROW","0.356902332389048","0.502320929337976","0.275093143443794"
