"Country Name","Country Code","Indicator Name","Indicator Code","2021","2022","2023"
"United States","USA","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","4754.3785","4815.7665","4618.2675"
"China","CHN","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","12551.8645","12518.6844","13021.242"
"India","IND","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","2597.9343","2807.0805","3014.5226"
"Germany","DEU","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","670.667","658.0886","589.6596"
"Japan","JPN","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","1080.206","1050.5032","1002.4382"
"Brazil","BRA","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","506.2334","479.2664","480.235"
"United Kingdom","GBR","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","337.9148","324.9949","304.7866"
"France","FRA","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","316.7044","307.6802","284.1541"
