"Country Name","Country Code","Indicator Name","Indicator Code","2021","2022","2023"
"United States","USA","GDP per capita (current US$)","NY.GDP.PCAP.CD","71441.2319805947","78008.6895811877","82586.7847707894"
"China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","12887.4357242941","12970.6056414327","12951.1782397043"
"India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","2239.61384367482","2279.98145719369","2434.44826340989"
"Germany","DEU","GDP per capita (current US$)","NY.GDP.PCAP.CD","52349.2459994422","50506.5179638543","54776.7668235491"
"Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","41580.739040705","35548.2645222433","35215.003535366"
"Brazil","BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","7972.5366498646","9281.33334441234","10377.5892792557"
"United Kingdom","GBR","GDP per capita (current US$)","NY.GDP.PCAP.CD","47695.6491523474","47034.7795621476","49919.6896621586"
"France","FRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","43725.0999521245","40988.6396406579","44700.1384177544"
