"Country Name","Country Code","Indicator Name","Indicator Code","2021","2022","2023"
"United States","USA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","2568697000000","3036430000000","3073360000000"
"China","CHN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","3537510275663.96","3705070541732.88","3544871083631.02"
"India","IND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","677769255428.552","781290791563.827","782620610192.051"
"Germany","DEU","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1851846071996.09","1916859170749.03","1960255682615.72"
"Japan","JPN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","912551747360.225","918412226913.945","923420059650.996"
"Brazil","BRA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","319251201403.084","383177602116.201","393731572887.926"
"United Kingdom","GBR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","935667446175.151","1083593172366.25","1091653856200.64"
"France","FRA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","928139254791.07","1023340977697.09","1053069574154.53"
