"Country Name","Country Code","Indicator Name","Indicator Code","2021","2022","2023"
"United States","USA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","6.15202247867526","2.52421385073222","2.93436322440155"
"China","CHN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","8.57038414981781","3.13385438394069","5.41600334492955"
"India","IND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","9.68959249191741","7.6093649776932","7.210224629335"
"Germany","DEU","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","3.90999994204108","1.8092581243061","-0.869647578573321"
"Japan","JPN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","3.56419531474475","1.33164750653741","0.720785304749811"
"Brazil","BRA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","4.76260437908608","3.01669435393015","3.24165532906981"
"United Kingdom","GBR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","8.5431118453255","5.14970388522993","0.271650048355255"
"France","FRA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","6.88233783360239","2.71676264185913","1.43921494437743"
