"Country Name","Country Code","Indicator Name","Indicator Code","2021","2022","2023"
"United States","USA","GDP (current US$)","NY.GDP.MKTP.CD","23315080000000","25462700000000","27360935000000"
"China","CHN","GDP (current US$)","NY.GDP.MKTP.CD","17820459000000","17963171000000","17700899000000"
"India","IND","GDP (current US$)","NY.GDP.MKTP.CD","3150306000000","3389689000000","3732224000000"
"Germany","DEU","GDP (current US$)","NY.GDP.MKTP.CD","4259934000000","4072820000000","4456083000000"
"Japan","JPN","GDP (current US$)","NY.GDP.MKTP.CD","4940877000000","4232173000000","4210600000000"
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","1649622000000","1920095000000","2173665000000"
"United Kingdom","GBR","GDP (current US$)","NY.GDP.MKTP.CD","3141514000000","3089072000000","3340032000000"
"France","FRA","GDP (current US$)","NY.GDP.MKTP.CD","2957879000000","2779092000000","3030904000000"
